impl,workload,nkeys,threads,nlocks,seconds,seed,run_id,total_ops,ops_per_s
coarse,insert,1000000,4,1024,2,123,1,2345445,1.17266e+06
coarse,insert,1000000,4,1024,2,123,2,2346201,1.17303e+06
coarse,insert,1000000,4,1024,2,123,3,2348403,1.17411e+06
coarse,insert,1000000,8,1024,2,123,1,2054845,1.02725e+06
coarse,insert,1000000,8,1024,2,123,2,2032690,1.01619e+06
coarse,insert,1000000,8,1024,2,123,3,1999774,999733
coarse,insert,1000000,16,1024,2,123,1,1931150,965186
coarse,insert,1000000,16,1024,2,123,2,1927166,963200
coarse,insert,1000000,16,1024,2,123,3,1908084,953798
coarse,mix7030,10000,1,1024,2,123,1,26322398,1.31605e+07
coarse,mix7030,10000,1,1024,2,123,2,20712795,1.03559e+07
coarse,mix7030,10000,1,1024,2,123,3,22052562,1.10258e+07
coarse,mix7030,10000,2,1024,2,123,1,10092806,5.04617e+06
coarse,mix7030,10000,2,1024,2,123,2,9965697,4.98261e+06
coarse,mix7030,10000,2,1024,2,123,3,9769630,4.88462e+06
coarse,mix7030,10000,4,1024,2,123,1,7510669,3.7549e+06
coarse,mix7030,10000,4,1024,2,123,2,7961296,3.98024e+06
coarse,mix7030,10000,4,1024,2,123,3,7741892,3.87069e+06
coarse,mix7030,10000,8,1024,2,123,1,5970960,2.9849e+06
coarse,mix7030,10000,8,1024,2,123,2,5975577,2.98705e+06
coarse,mix7030,10000,8,1024,2,123,3,6022543,3.01074e+06
coarse,mix7030,10000,16,1024,2,123,1,5331779,2.665e+06
coarse,mix7030,10000,16,1024,2,123,2,5420024,2.70852e+06
coarse,mix7030,10000,16,1024,2,123,3,5309969,2.654e+06
coarse,mix7030,100000,1,1024,2,123,1,13812544,6.90593e+06
coarse,mix7030,100000,1,1024,2,123,2,19467836,9.73347e+06
coarse,mix7030,100000,1,1024,2,123,3,18887321,9.4432e+06
coarse,mix7030,100000,2,1024,2,123,1,5676819,2.83824e+06
coarse,mix7030,100000,2,1024,2,123,2,4119517,2.05967e+06
coarse,mix7030,100000,2,1024,2,123,3,4480322,2.24005e+06
coarse,mix7030,100000,4,1024,2,123,1,3647638,1.82369e+06
coarse,mix7030,100000,4,1024,2,123,2,3360839,1.68028e+06
coarse,mix7030,100000,4,1024,2,123,3,4056988,2.0283e+06
coarse,mix7030,100000,8,1024,2,123,1,3211917,1.60566e+06
coarse,mix7030,100000,8,1024,2,123,2,3485564,1.74248e+06
coarse,mix7030,100000,8,1024,2,123,3,3359693,1.67951e+06
coarse,mix7030,100000,16,1024,2,123,1,3360732,1.6798e+06
