bytes,pattern,strideB,elapsed_s
65536,random,4096,4e-07
159744,random,4096,4e-07
385024,random,4096,9.33333e-07
925696,random,4096,2.56667e-06
2236416,random,4096,1.64333e-05
5398528,random,4096,5.18e-05
13041664,random,4096,0.000157633
31506432,random,4096,0.000431233
76124160,random,4096,0.00129633
183926784,random,4096,0.00400013
444399616,random,4096,0.0116383
1073741824,random,4096,0.0321874
