bytes,pattern,strideB,elapsed_s
65536,random,64,3.2e-06
159744,random,64,8.43333e-06
385024,random,64,4.93e-05
925696,random,64,0.0001628
2236416,random,64,0.000518833
5398528,random,64,0.00212147
13041664,random,64,0.0075721
31506432,random,64,0.0237852
76124160,random,64,0.0738925
183926784,random,64,0.227151
444399616,random,64,0.625386
1073741824,random,64,1.6695
