bytes,pattern,strideB,elapsed_s
65536,seq,4096,3.66667e-07
159744,seq,4096,4.66667e-07
385024,seq,4096,1.36667e-06
925696,seq,4096,4.3e-06
2236416,seq,4096,1.4e-05
5398528,seq,4096,5.68667e-05
13041664,seq,4096,0.0001465
31506432,seq,4096,0.0003498
76124160,seq,4096,0.0007933
183926784,seq,4096,0.00196203
444399616,seq,4096,0.00536937
1073741824,seq,4096,0.0130142
