bytes,pattern,strideB,GBps,ns_per_elem
65536,random,64,0.771213,15.5599
196608,random,64,3.00216,3.99712
569344,random,64,10.9888,1.09202
1667072,random,64,12.5344,0.957367
4894720,random,64,11.7649,1.01998
14385152,random,64,14.2327,0.843129
42278912,random,64,13.0147,0.922033
124272640,random,64,13.087,0.916943
365285376,random,64,13.2944,0.902633
1073741824,random,64,12.3263,0.97353
