bytes,pattern,strideB,GBps,ns_per_elem
65536,seq,1024,0.759495,15.8
196608,seq,1024,2.69244,4.45692
569344,seq,1024,6.57441,1.82526
1667072,seq,1024,16.0398,0.748138
4894720,seq,1024,36.6554,0.327373
14385152,seq,1024,57.8052,0.207594
42278912,seq,1024,79.7598,0.150452
124272640,seq,1024,83.0983,0.144407
365285376,seq,1024,84.4556,0.142087
1073741824,seq,1024,59.402,0.202013
