bytes,pattern,strideB,GBps,ns_per_elem
65536,seq,64,0.645746,18.5832
196608,seq,64,2.2521,5.32837
569344,seq,64,5.23615,2.29176
1667072,seq,64,11.6452,1.03047
4894720,seq,64,14.1643,0.847199
14385152,seq,64,13.0277,0.921116
42278912,seq,64,12.9246,0.928463
124272640,seq,64,13.222,0.907575
365285376,seq,64,13.3334,0.899993
1073741824,seq,64,12.1813,0.985116
