bytes,huge,page_strideB,random,elapsed_s,huge_granted
4194304,0,64,1,0.0019729,0
10227712,0,64,1,0.00518043,0
24932352,0,64,1,0.01515,0
60784640,0,64,1,0.0412323,0
148189184,0,64,1,0.113465,0
361287680,0,64,1,0.340001,0
880828416,0,64,1,0.971584,0
2147483648,0,64,1,2.57162,0
